,City,Cloudiness %,Coutry,Date,Humidity %,Latitude,Long,Temperature (F),Wind Speed (mph)
671,Surdila-Greci,5,RO,1567106168.0,49,45.06,27.26,73.4,6.93
672,Upata,0,VE,1567105833.0,55,8.02,-62.41,93.0,3.0
673,Moscow,90,US,1567106169.0,63,46.73,-117.0,80.01,3.36
674,Kanlagay,76,PH,1567106170.0,93,5.88,121.29,74.93,3.56
675,Anloga,20,GH,1567106083.0,78,5.79,0.9,80.6,12.75
676,Sangar,32,RU,1567105634.0,78,63.92,127.47,46.31,3.29
679,Uglovskoye,77,RU,1567106172.0,43,51.36,80.19,71.51,8.16
680,Maceio,20,BR,1567106014.0,65,-9.67,-35.74,77.0,12.75
681,Tommot,45,RU,1567106173.0,97,58.97,126.27,45.05,1.9
682,Hopkinsville,1,US,1567106105.0,42,36.87,-87.49,84.0,5.82
683,Salinas,75,EC,1567105741.0,66,0.49,-78.13,55.4,4.36
684,Kyra,43,RU,1567105740.0,81,49.58,111.97,47.21,2.8
685,Ozernovskiy,98,RU,1567106174.0,98,51.5,156.52,49.55,8.43
686,Jasper,96,CA,1567105656.0,54,52.88,-118.08,50.45,2.82
687,Mehamn,0,NO,1567105792.0,64,71.03,27.85,69.8,25.28
688,Plettenberg Bay,60,ZA,1567106175.0,74,-34.05,23.37,49.01,4.32
689,Saint-Augustin,75,CA,1567106176.0,56,45.63,-73.98,77.0,8.05
690,Belle Glade,40,US,1567106176.0,63,26.68,-80.67,91.4,8.05
691,Monrovia,75,LR,1567106176.0,88,6.33,-10.8,78.8,9.98
692,Evanston,1,US,1567106177.0,45,42.04,-87.69,87.01,20.8
693,Aripuana,32,BR,1567106177.0,17,-9.17,-60.63,104.09,3.96
694,Ciudad Bolivar,23,VE,1567106178.0,54,8.12,-63.55,91.31,2.71
695,Pangody,100,RU,1567106178.0,95,65.85,74.49,43.25,16.84
696,San Jeronimo,40,MX,1567106178.0,56,29.37,-110.79,96.01,6.93
697,Morant Bay,40,JM,1567106179.0,62,17.88,-76.41,87.8,4.7
698,Vetluzhskiy,90,RU,1567106179.0,97,58.39,45.47,42.17,4.27
699,Koulikoro,20,ML,1567106180.0,78,12.86,-7.56,80.6,5.82
700,Gorin,100,RU,1567106180.0,99,51.2,136.66,57.29,5.35
701,Sanchor,85,IN,1567106181.0,67,24.76,71.77,88.07,6.76
703,Vidor,40,US,1567105955.0,59,30.13,-94.02,93.2,5.82
704,Miri,75,MY,1567106182.0,94,4.41,114.01,75.2,3.36
705,Uryupinsk,0,RU,1567106182.0,79,50.8,42.01,55.99,5.66
706,Mayo,75,CA,1567105708.0,58,63.59,-135.9,53.6,1.39
707,Palu,29,ID,1567106183.0,91,-0.9,119.87,72.41,3.49
708,Raahe,0,FI,1567105725.0,68,64.68,24.47,68.0,8.05
709,Lluta,0,PE,1567106184.0,11,-16.02,-72.01,71.6,10.29
710,Itupiranga,20,BR,1567106184.0,39,-5.13,-49.33,96.8,8.05
711,Marovoay,0,MG,1567106184.0,88,-16.11,46.64,73.4,3.36
712,Santa Rosa,0,AR,1567106185.0,20,-36.62,-64.29,65.03,12.91
713,Progreso,26,MX,1567106185.0,42,20.25,-99.19,70.97,4.74
714,Bilibino,100,RU,1567106186.0,97,68.06,166.44,37.13,2.48
715,Jurm,0,AF,1567106186.0,44,36.86,70.83,52.79,3.27
716,Itabira,0,BR,1567106187.0,35,-19.62,-43.23,71.6,9.17
717,Roma,0,AU,1567106187.0,54,-26.57,148.79,47.21,7.16
718,Qaqortoq,20,GL,1567106188.0,35,60.72,-46.03,57.2,10.29
719,Hailey,75,US,1567106188.0,36,43.52,-114.32,84.0,8.1
720,Mtinko,86,TZ,1567106188.0,39,-4.55,34.84,74.93,8.25
721,Vardo,0,NO,1567105670.0,72,70.37,31.11,64.4,19.46
722,Pashiya,100,RU,1567106189.0,96,58.43,58.26,45.41,9.95
724,Goure,83,NE,1567106190.0,85,13.98,10.27,71.01,1.99
725,Nampula,0,MZ,1567106190.0,78,-15.12,39.26,71.6,6.93
726,Santa Maria Ixhuatan,40,GT,1567106191.0,44,14.19,-90.27,89.6,11.41
727,Sibolga,100,ID,1567106191.0,76,1.74,98.78,81.59,5.97
729,Amlame,91,TG,1567106192.0,88,7.47,0.9,75.47,0.78
730,Carasova,0,RO,1567106192.0,34,45.2,21.87,80.6,4.7
731,Tessalit,39,ML,1567105650.0,36,20.2,1.01,89.87,16.08
732,Buala,99,SB,1567105740.0,79,-8.15,159.59,79.25,4.83
733,Ust-Kuyga,93,RU,1567106193.0,75,70.0,135.55,30.11,3.11
734,Khandyga,56,RU,1567105822.0,85,62.65,135.58,48.47,2.28
735,Suarez,40,CO,1567106194.0,33,4.05,-74.83,91.4,10.29
736,Saldanha,68,ZA,1567105667.0,66,-33.01,17.94,53.6,3.36
737,La Palma,63,PA,1567106194.0,82,8.4,-78.14,80.15,7.47
738,Iqaluit,90,CA,1567105737.0,86,63.75,-68.52,39.2,17.22
740,Jega,93,NG,1567106195.0,59,12.22,4.38,85.91,4.05
741,Serrinha,92,BR,1567106196.0,73,-11.66,-39.0,74.39,13.49
742,Tual,32,ID,1567106196.0,81,-5.67,132.75,76.37,18.79
743,Ako,100,JP,1567106197.0,98,34.79,134.38,73.99,1.3
745,Pittsfield,1,US,1567106198.0,88,39.61,-90.81,82.0,3.36
746,Sechura,65,PE,1567106198.0,94,-5.56,-80.82,59.81,15.1
747,Pervomayskoye,67,RU,1567106198.0,93,57.07,86.23,52.97,6.93
748,Otjimbingwe,1,NA,1567106199.0,32,-22.35,16.13,57.65,6.58
749,Svirstroy,45,RU,1567106199.0,80,60.8,33.72,56.93,0.98
750,Ilebo,40,CD,1567106200.0,55,-4.33,20.59,80.69,1.68
751,Rawson,25,AR,1567106200.0,30,-43.3,-65.11,55.31,27.54
752,Tiznit,62,MA,1567106201.0,80,29.7,-9.73,71.51,4.56
753,Coueron,0,FR,1567106047.0,56,47.22,-1.72,78.01,8.05
754,Palora,40,EC,1567105776.0,40,-1.7,-77.97,89.6,4.7
755,Toowoomba,0,AU,1567106202.0,100,-27.56,151.95,48.0,7.85
756,Kokopo,85,PG,1567106202.0,96,-4.34,152.27,70.07,2.59
757,Moosomin,27,CA,1567106202.0,52,50.14,-101.67,61.61,16.8
758,Qitaihe,96,CN,1567106203.0,98,45.77,131.01,57.47,2.66
759,Muromtsevo,95,RU,1567106203.0,76,56.37,75.24,54.77,12.88
760,Bell Ville,65,AR,1567106204.0,18,-32.63,-62.69,72.0,13.0
761,Mechetinskaya,84,RU,1567106204.0,29,46.77,40.45,63.23,11.72
762,Tabas,13,IR,1567105680.0,13,33.6,56.92,93.2,4.7
763,Whitehorse,20,CA,1567105702.0,57,60.72,-135.06,57.99,2.24
764,Tura,92,RU,1567106205.0,74,64.27,100.22,47.57,5.35
765,Jiangkou,0,CN,1567106205.0,67,30.7,117.56,70.61,1.79
766,Kaputa,0,ZM,1567105734.0,27,-8.47,29.66,71.51,4.36
767,Solnechnyy,100,RU,1567106206.0,99,50.72,136.64,55.31,2.26
768,Vestmanna,75,FO,1567106207.0,100,62.16,-7.17,51.8,17.22
769,Piro,53,IN,1567106207.0,70,25.33,84.41,85.91,5.95
770,Sinnamary,0,GF,1567106207.0,77,5.38,-52.96,81.95,16.37
771,Aksu,24,CN,1567105696.0,30,41.12,80.26,80.33,4.43
772,Kolyvan,0,RU,1567106208.0,77,55.31,82.74,60.8,6.71
773,Chara,33,RU,1567105817.0,88,56.9,118.26,39.29,1.48
774,Kysyl-Syr,22,RU,1567106209.0,69,63.9,122.77,47.39,2.86
775,Konosha,79,RU,1567106209.0,94,60.97,40.26,53.87,5.88
776,Tezu,100,IN,1567106210.0,88,27.93,96.16,75.29,3.06
778,Baker City,1,US,1567106210.0,32,44.77,-117.83,82.4,6.93
780,Ishigaki,3,JP,1567106211.0,83,24.34,124.16,83.03,10.2
781,Iquitos,8,PE,1567105977.0,38,-3.75,-73.25,97.97,0.49
782,Kitale,99,KE,1567106212.0,92,1.02,35.0,58.55,2.15
783,Hastings,1,US,1567106212.0,74,40.59,-98.39,87.01,4.7
784,Sao Gabriel da Cachoeira,40,BR,1567106213.0,66,-0.13,-67.09,87.8,6.93
785,Poum,100,NC,1567105652.0,76,-20.23,164.02,71.69,15.68
786,Thessalon,1,CA,1567106214.0,53,46.26,-83.55,71.6,3.36
787,Verkhoyansk,74,RU,1567105615.0,63,67.55,133.39,34.79,2.46
788,Malasila,90,PH,1567106214.0,88,6.94,125.13,78.8,1.57
789,Shunyi,0,CN,1567106215.0,43,40.13,116.65,77.0,13.42
790,Oxapampa,0,PE,1567106215.0,49,-10.58,-75.4,69.71,6.06
791,Port Keats,46,AU,1567106215.0,21,-14.25,129.55,65.57,16.46
792,Kamenka,30,RU,1567106216.0,53,53.19,44.05,64.0,13.35
794,Kidsgrove,76,GB,1567106035.0,72,53.09,-2.24,64.4,6.93
795,Menongue,73,AO,1567106217.0,26,-14.66,17.68,73.49,1.45
796,Kloulklubed,90,PW,1567105658.0,88,7.04,134.26,78.8,9.17
797,Ocean Springs,1,US,1567106218.0,46,30.41,-88.83,93.99,8.05
798,Novovasylivka,99,UA,1567106219.0,47,48.2,37.04,58.19,9.48
799,Yingkou,0,CN,1567106219.0,89,40.67,122.24,59.81,6.64
800,Nishihara,75,JP,1567105730.0,74,35.74,139.53,84.0,13.87
801,Gunzburg,0,DE,1567106220.0,88,48.45,10.27,70.0,2.24
802,Barrancabermeja,20,CO,1567106221.0,59,7.07,-73.85,91.4,3.36
806,Dudinka,75,RU,1567106222.0,93,69.41,86.18,50.0,8.95
807,Luwuk,55,ID,1567105629.0,97,-0.95,122.79,57.11,3.85
808,Westlock,90,CA,1567106223.0,62,54.15,-113.85,64.99,2.24
809,Belaya Gora,50,RU,1567105722.0,73,68.54,146.19,31.01,3.65
810,Bansang,75,GM,1567106224.0,94,13.44,-14.66,82.4,9.6
811,Jishou,97,CN,1567106224.0,93,28.26,109.7,67.19,2.33
812,Bam,0,IR,1567106224.0,17,29.11,58.36,59.63,1.45
813,Bhiwandi,40,IN,1567106226.0,94,19.3,73.06,80.6,6.93
814,Merauke,23,ID,1567106226.0,82,-8.49,140.4,75.83,16.78
815,Revda,33,RU,1567106226.0,96,67.94,34.55,52.79,5.35
816,Salvador,90,BR,1567106111.0,100,-12.98,-38.48,71.6,11.41
817,Niquero,22,CU,1567105808.0,67,20.04,-77.58,84.11,3.44
818,Broome,5,AU,1567105681.0,87,-17.97,122.23,60.8,8.77
819,Hanzhong,97,CN,1567106228.0,63,33.08,107.03,65.75,0.96
821,Port Hardy,90,CA,1567105829.0,93,50.7,-127.42,53.6,2.24
822,Letlhakeng,0,BW,1567106230.0,13,-24.1,25.03,68.09,1.32
823,Buraydah,0,SA,1567105828.0,16,26.33,43.97,98.6,4.7
824,Bolivar,40,CO,1567106231.0,48,4.34,-76.18,84.2,3.36
825,Praia da Vitoria,75,PT,1567106232.0,88,38.73,-27.07,73.4,10.07
826,Krasnaya Gorbatka,0,RU,1567106232.0,88,55.87,41.76,58.19,7.67
827,Southbridge,90,NZ,1567106233.0,89,-43.81,172.25,39.99,1.12
829,Port-Cartier,90,CA,1567106233.0,93,50.03,-66.88,59.0,18.34
831,Corner Brook,75,CA,1567106234.0,56,48.95,-57.95,71.6,6.93
832,Novo Aripuana,29,BR,1567106235.0,32,-5.12,-60.38,96.53,1.97
833,Rovaniemi,0,FI,1567106235.0,68,66.5,25.72,66.2,5.82
834,Mali,75,GN,1567106236.0,70,12.08,-12.3,84.2,4.7
835,Shieli,2,KZ,1567106236.0,43,44.18,66.74,64.49,17.69
836,Dhidhdhoo,100,MV,1567106236.0,67,6.88,73.1,82.85,19.77
837,Merrill,1,US,1567106237.0,53,42.03,-121.6,84.0,4.7
838,Nazas,32,MX,1567106238.0,45,25.22,-104.11,77.63,5.73
839,Beruwala,99,LK,1567106238.0,81,6.48,79.98,81.59,17.4
840,San Pedro de Macoris,20,DO,1567106092.0,52,18.46,-69.3,91.4,11.41
843,Alto Paraguai,7,BR,1567106239.0,14,-14.51,-56.48,105.53,2.46
844,Benguela,39,AO,1567105679.0,86,-12.58,13.4,69.89,8.93
845,Le Port,24,RE,1567106240.0,68,-20.94,55.29,71.6,12.75
846,Lewisporte,90,CA,1567106245.0,82,49.25,-55.06,60.01,4.7
847,Campbell River,40,CA,1567106104.0,56,50.02,-125.24,73.0,5.82
848,Gouyave,20,GD,1567106249.0,74,12.16,-61.73,87.8,11.41
849,Morehead,19,PG,1567106249.0,98,-8.71,141.64,68.09,3.04
850,Yulara,0,AU,1567106250.0,28,-25.24,130.99,44.6,4.7
851,Pirajui,0,BR,1567106251.0,37,-22.0,-49.46,84.99,11.41
852,Zyryanovsk,93,KZ,1567106251.0,35,49.74,84.27,66.11,3.91
855,Tougan,87,BF,1567106253.0,74,13.07,-3.07,79.97,5.1
856,Zabaykalsk,96,RU,1567106253.0,71,49.63,117.32,53.87,3.11
857,Komatipoort,38,ZA,1567106254.0,76,-25.43,31.95,64.0,4.21
858,Kalmunai,78,LK,1567106254.0,78,7.42,81.82,78.17,3.04
860,Puerto Castilla,40,HN,1567106255.0,59,16.02,-85.97,89.6,14.99
861,Caravelas,94,BR,1567106255.0,70,-17.73,-39.27,73.49,10.22
862,Arona,75,ES,1567106183.0,93,28.1,-16.68,77.0,19.46
863,Dalnerechensk,100,RU,1567106256.0,97,45.93,133.72,61.61,3.78
864,Kijang,93,ID,1567106256.0,94,0.9,104.63,78.8,3.36
865,Mandurah,90,AU,1567105978.0,77,-32.55,115.7,61.0,17.22
866,Palafrugell,20,ES,1567105970.0,61,41.92,3.16,82.99,6.93
867,Waingapu,3,ID,1567106257.0,88,-9.65,120.26,65.93,10.31
868,Altay,0,CN,1567105769.0,31,47.83,88.13,60.71,6.71
869,Central Point,1,US,1567106239.0,32,42.38,-122.91,88.0,1.43
870,Rodrigues Alves,75,BR,1567106258.0,52,-7.74,-72.65,91.4,5.82
872,Teguldet,67,RU,1567106259.0,85,57.31,88.17,53.87,8.48
873,Inta,100,RU,1567106259.0,82,66.04,60.13,42.35,8.57
874,Zapolyarnyy,0,RU,1567105803.0,77,69.43,30.82,64.4,23.04
876,Kisesa,20,TZ,1567106260.0,78,-2.55,33.05,75.2,13.87
877,Khatassy,0,RU,1567106261.0,93,61.91,129.64,42.8,4.47
878,Palauig,100,PH,1567106261.0,81,15.44,119.9,81.41,12.57
879,Hangu,0,CN,1567106262.0,49,39.25,117.8,71.6,13.42
880,Zirandaro,70,MX,1567106262.0,63,18.45,-100.98,88.79,1.57
881,Semey,72,KZ,1567106262.0,32,50.41,80.25,76.55,7.92
882,Adre,50,TD,1567106263.0,74,13.47,22.2,71.33,2.21
883,Spassk,9,RU,1567106263.0,84,53.93,43.19,55.85,9.35
884,Sosva,100,RU,1567106264.0,94,59.17,61.86,46.31,10.89
885,Tolbazy,90,RU,1567106264.0,81,54.01,55.89,46.4,13.42
886,Lichuan,88,CN,1567106265.0,72,30.3,108.94,62.33,4.63
888,Kautokeino,89,NO,1567106265.0,77,69.01,23.04,62.33,21.07
890,Kindu,87,CD,1567106266.0,78,-2.95,25.92,74.93,1.68
891,Zhob,91,PK,1567106266.0,43,31.34,69.45,76.55,7.09
893,Ailigandi,100,PA,1567106267.0,78,9.23,-78.02,83.21,4.5
894,Hyeres,0,FR,1567106267.0,69,43.12,6.14,84.0,4.7
895,Ouadda,88,CF,1567106268.0,93,8.07,22.4,69.53,1.9
896,Hirara,1,JP,1567105675.0,83,24.8,125.28,83.03,10.83
897,Seydisehir,25,TR,1567106269.0,38,37.42,31.85,69.17,8.39
898,Mandali,0,IQ,1567106270.0,10,33.75,45.55,99.05,11.86
900,Khilok,6,RU,1567106270.0,79,51.36,110.46,49.55,2.21
901,Dera Bugti,77,PK,1567106271.0,43,29.03,69.15,89.87,3.4
902,Ouesso,94,CG,1567106271.0,93,1.61,16.05,73.85,3.09
903,Kamennomostskiy,0,RU,1567106272.0,44,44.29,40.18,67.19,13.6
905,Panguna,95,PG,1567106272.0,85,-6.32,155.48,79.79,8.32
906,Camapua,66,BR,1567106273.0,20,-19.53,-54.04,92.03,4.92
907,Ivanteyevka,0,RU,1567106273.0,59,55.97,37.92,63.0,11.18
908,Necocli,40,CO,1567106274.0,70,8.42,-76.79,87.8,6.93
911,Angoram,77,PG,1567106275.0,97,-4.06,144.07,73.31,2.1
914,Bundaberg,5,AU,1567106276.0,93,-24.87,152.35,57.2,6.93
915,Cutervo,67,PE,1567106277.0,39,-6.38,-78.82,73.31,14.72
916,Bonanza,62,NI,1567106277.0,45,14.03,-84.62,87.71,5.1
917,Krasnyy Kut,76,RU,1567106278.0,31,47.1,40.67,60.53,10.09
918,Buy,77,RU,1567106278.0,96,58.48,41.53,54.05,7.27
919,Hefei,1,CN,1567106278.0,88,31.82,117.22,71.6,4.47
921,Imeni Zhelyabova,0,RU,1567106279.0,86,58.95,36.6,59.45,4.25
923,Dwarka,75,IN,1567106281.0,74,28.58,77.04,93.99,5.82
924,High Level,20,CA,1567105711.0,72,58.52,-117.13,59.0,4.7
925,Redlands,5,US,1567106282.0,31,34.06,-117.19,96.01,8.05
926,Lahij,0,YE,1567106282.0,43,13.06,44.88,91.85,14.67
927,North Branch,40,US,1567106283.0,46,45.51,-92.98,75.99,11.41
928,Falmouth,20,GB,1567106283.0,77,50.16,-5.07,62.6,12.75
929,Santa Maria,75,CV,1567106283.0,66,16.6,-22.9,86.0,10.29
932,Nuuk,5,GL,1567106284.0,26,64.17,-51.74,55.4,8.05
933,Jinchang,98,CN,1567106285.0,23,38.52,102.19,63.23,6.13
934,San Carlos del Zulia,76,VE,1567106285.0,52,9.0,-71.91,92.93,4.32
936,Pachperwa,99,IN,1567106286.0,76,27.52,82.65,83.39,5.61
937,Snezhnogorsk,0,RU,1567106286.0,77,69.19,33.23,59.0,6.71
939,Mezhdurechensk,61,RU,1567106287.0,87,53.69,88.07,59.27,2.39
940,Viramgam,75,IN,1567106287.0,83,23.12,72.05,84.2,4.7
941,Sambava,75,MG,1567106287.0,91,-14.27,50.17,66.29,2.39
942,Honiara,20,SB,1567106288.0,100,-9.43,159.96,71.6,5.82
943,Spanish Town,40,JM,1567106199.0,62,18.0,-76.95,87.8,4.7
944,Rangapara,100,IN,1567106289.0,86,26.82,92.69,75.65,3.29
945,Batagay-Alyta,100,RU,1567106289.0,74,67.8,130.41,31.55,1.07
946,Le Mars,1,US,1567106290.0,41,42.79,-96.17,82.4,10.29
947,Kaoma,77,ZM,1567106290.0,28,-14.8,24.8,77.45,5.23
948,Marawi,23,SD,1567106291.0,12,18.48,31.82,103.01,11.1
949,Sawakin,2,SD,1567106291.0,34,19.1,37.33,90.23,4.56
950,Taoudenni,51,ML,1567106291.0,20,22.68,-3.98,104.63,20.09
951,Khorixas,19,NA,1567106292.0,56,-20.37,14.96,55.13,3.85
952,Minab,0,IR,1567106292.0,63,27.15,57.07,95.0,11.41
953,Baiyin,40,CN,1567106292.0,67,36.55,104.13,62.6,2.24
954,Hay River,75,CA,1567106293.0,82,60.82,-115.79,55.4,6.93
955,Korgen,94,NO,1567106293.0,87,66.08,13.83,60.8,8.05
956,Lodeynoye Pole,45,RU,1567106294.0,80,60.73,33.55,56.93,0.98
957,Pemba,20,MZ,1567106294.0,83,-12.97,40.52,75.2,9.17
958,Rio Gallegos,40,AR,1567106294.0,42,-51.62,-69.22,48.2,34.45
959,Narok,100,KE,1567106295.0,87,-1.09,35.87,59.81,5.91
961,Salamiyah,1,SY,1567106295.0,55,35.01,37.05,78.71,7.18
962,Wilmington,1,US,1567106217.0,34,39.75,-75.55,84.0,11.41
963,Nhulunbuy,79,AU,1567106296.0,77,-12.18,136.78,62.6,3.36
964,Karratha,0,AU,1567106296.0,86,-20.74,116.85,64.31,6.17
966,Vanavara,10,RU,1567105793.0,87,60.35,102.28,47.39,2.73
967,Agadez,20,NE,1567106297.0,65,16.97,7.99,82.4,4.7
969,Cravo Norte,8,CO,1567106298.0,54,6.3,-70.2,89.87,5.75
970,Rabat,75,MA,1567106298.0,54,34.02,-6.83,78.8,2.24
971,Pochutla,75,MX,1567106299.0,49,15.74,-96.47,93.99,9.17
972,Fairbanks,75,US,1567106103.0,76,64.84,-147.72,53.01,1.81
973,Goiatuba,59,BR,1567106299.0,22,-18.02,-49.36,91.67,2.77
974,Mulanje,14,MW,1567106300.0,41,-16.03,35.5,70.25,7.47
976,Petropavlovka,0,RU,1567106300.0,57,50.61,105.32,45.95,1.57
977,Ambovombe,0,MG,1567106301.0,70,-25.18,46.09,71.51,10.6
979,Olathe,40,US,1567106052.0,55,38.88,-94.82,90.0,9.17
980,Palaia Fokaia,0,GR,1567106302.0,32,37.72,23.95,82.99,3.36
982,Huayucachi,3,PE,1567106302.0,36,-12.13,-75.23,55.49,6.98
983,Entre Rios,20,BO,1567106303.0,16,-21.53,-64.17,91.4,4.7
984,Telimele,100,GN,1567106303.0,98,10.9,-13.03,71.15,4.41
985,Reyes,20,BO,1567106304.0,52,-14.3,-67.34,95.0,4.7
988,Sergeyevka,96,KZ,1567106305.0,92,53.88,67.42,51.35,12.66
989,Koulamoutou,77,GA,1567106305.0,91,-1.13,12.47,73.13,1.97
990,Antalaha,96,MG,1567106305.0,98,-14.9,50.28,63.23,2.13
991,Rorvik,75,NO,1567105550.0,100,64.86,11.24,57.2,11.41
992,College,75,US,1567106306.0,76,64.86,-147.8,53.01,1.81
993,Kyzyl-Suu,41,KG,1567106307.0,67,42.34,78.0,69.53,3.13
995,Batemans Bay,6,AU,1567106307.0,66,-35.71,150.18,50.0,3.0
996,Wladyslawowo,0,PL,1567106308.0,82,54.79,18.4,71.01,2.24
998,Port-Gentil,75,GA,1567105805.0,83,-0.72,8.78,78.8,11.41
999,Juchitepec,20,MX,1567106309.0,31,19.11,-98.88,77.0,3.36
1000,Abja-Paluoja,93,EE,1567106309.0,76,58.13,25.36,68.0,3.0
1001,Toumodi,34,CI,1567106310.0,70,6.56,-5.02,84.0,5.99
1002,Meiringen,39,CH,1567106310.0,77,46.73,8.19,78.01,8.05
1003,Mwinilunga,75,ZM,1567106311.0,32,-11.73,24.43,70.79,2.71
1004,San Rafael del Sur,40,NI,1567106311.0,44,11.85,-86.44,93.2,18.34
1005,Sierra Vista,1,US,1567106311.0,45,31.55,-110.3,88.0,4.5
1007,Moyale,4,KE,1567106312.0,51,3.52,39.06,76.55,9.71
1008,Jiaozuo,0,CN,1567106312.0,57,35.21,113.25,64.49,2.57
1009,Wajima,99,JP,1567106313.0,75,37.4,136.9,76.91,6.22
1010,Voznesenye,2,RU,1567106313.0,81,61.02,35.48,59.81,4.29
1011,Hadsten,55,DK,1567106313.0,82,56.33,10.05,64.4,4.7
1012,Creel,82,MX,1567106314.0,38,27.75,-107.63,79.61,2.84
1014,Stillwater,20,US,1567106315.0,52,36.12,-97.06,93.0,12.75
1015,Wasilla,1,US,1567106158.0,58,61.58,-149.44,59.0,3.29
1016,Estelle,5,US,1567106315.0,39,32.87,-97.01,99.0,11.41
1017,Muros,20,ES,1567105791.0,78,42.77,-9.06,78.01,8.05
